time,price,quantity,source,buyer,seller,initiator
20190304T153112,105.053,575,Auto trade,,,
20190304T153113,105.0413,540,Auto trade,,,
20190304T153113,105.0482,1000,Auto trade,,,
20190304T153114,105.03,100,Auto trade,,,
20190304T153114,105.04,100,Auto trade,,,
20190304T153114,105.02,100,Auto trade,,,
20190304T153114,105.04,100,Auto trade,,,
20190304T153114,105.05,200,Auto trade,,,
20190304T153114,105.04,300,Auto trade,,,
20190304T153114,105.02,100,Auto trade,,,
20190304T153114,105.03,182,Auto trade,,,
20190304T153114,105.02,248,Auto trade,,,
20190304T153114,105.045,100,Auto trade,,,
20190304T153114,105.041,100,Auto trade,,,
20190304T153114,105.05,100,Auto trade,,,
20190304T153114,105.04,200,Auto trade,,,
20190304T153114,105.041,100,Auto trade,,,
20190304T153114,105.04,100,Auto trade,,,
20190304T153114,105.02,100,Auto trade,,,
20190304T153114,105.03,100,Auto trade,,,
20190304T153114,105.04,100,Auto trade,,,
20190304T153114,105.02,100,Auto trade,,,
20190304T153114,105.01,300,Auto trade,,,
20190304T153114,105.0,100,Auto trade,,,
20190304T153114,104.99,100,Auto trade,,,
20190304T153117,104.9885,200,Auto trade,,,
20190304T153118,104.99,200,Auto trade,,,
20190304T153119,105.0,100,Auto trade,,,
20190304T153119,105.01,105,Auto trade,,,
20190304T153119,105.03,100,Auto trade,,,
20190304T153120,105.03,490,Auto trade,,,
20190304T153120,105.04,100,Auto trade,,,
20190304T153120,105.05,100,Auto trade,,,
20190304T153121,105.02,100,Auto trade,,,
20190304T153122,105.0367,117,Auto trade,,,
20190304T153124,105.05,476,Auto trade,,,
20190304T153125,105.059,300,Auto trade,,,
20190304T153126,105.0442,100,Auto trade,,,
20190304T153127,105.08,100,Auto trade,,,
20190304T153130,105.06,200,Auto trade,,,
20190304T153131,105.06,200,Auto trade,,,
20190304T153131,105.05,100,Auto trade,,,
20190304T153131,105.065,200,Auto trade,,,
20190304T153131,105.05,117,Auto trade,,,
20190304T153132,105.05,100,Auto trade,,,
20190304T153132,105.04,100,Auto trade,,,
20190304T153132,105.06,100,Auto trade,,,
20190304T153133,105.06,100,Auto trade,,,
20190304T153133,105.05,200,Auto trade,,,
20190304T153133,105.06,100,Auto trade,,,
20190304T153134,105.04,400,Auto trade,,,
20190304T153134,105.06,100,Auto trade,,,
20190304T153134,105.08,100,Auto trade,,,
20190304T153134,105.06,100,Auto trade,,,
20190304T153134,105.08,100,Auto trade,,,
20190304T153134,105.09,300,Auto trade,,,
20190304T153134,105.08,400,Auto trade,,,
20190304T153135,105.06,100,Auto trade,,,
20190304T153135,105.07,200,Auto trade,,,
20190304T153136,105.04,100,Auto trade,,,
20190304T153136,105.03,200,Auto trade,,,
20190304T153138,105.03,482,Auto trade,,,
20190304T153139,105.03,200,Auto trade,,,
20190304T153140,105.03,200,Auto trade,,,
20190304T153142,105.05,100,Auto trade,,,
20190304T153146,105.02,100,Auto trade,,,
20190304T153148,105.035,200,Auto trade,,,
20190304T153148,105.03,347,Auto trade,,,
20190304T153149,105.0101,200,Auto trade,,,
20190304T153149,105.0116,100,Auto trade,,,
20190304T153150,105.01,100,Auto trade,,,
20190304T153152,105.01,100,Auto trade,,,
20190304T153152,105.0,100,Auto trade,,,
20190304T153152,105.025,100,Auto trade,,,
20190304T153153,105.0,300,Auto trade,,,
20190304T153154,105.0,300,Auto trade,,,
20190304T153154,104.99,200,Auto trade,,,
20190304T153154,104.98,100,Auto trade,,,
20190304T153155,104.98,214,Auto trade,,,
20190304T153155,104.97,100,Auto trade,,,
20190304T153155,104.9593,200,Auto trade,,,
20190304T153156,104.965,100,Auto trade,,,
20190304T153157,104.9601,300,Auto trade,,,
20190304T153200,105.0,300,Auto trade,,,
20190304T153201,105.0,100,Auto trade,,,
20190304T153201,104.9901,500,Auto trade,,,
20190304T153202,105.02,100,Auto trade,,,
20190304T153203,105.0013,850,Auto trade,,,
20190304T153204,105.02,100,Auto trade,,,
20190304T153205,105.01,100,Auto trade,,,
20190304T153206,105.0,100,Auto trade,,,
20190304T153206,104.99,100,Auto trade,,,
20190304T153206,104.98,200,Auto trade,,,
20190304T153206,104.99,100,Auto trade,,,
20190304T153206,104.98,100,Auto trade,,,
20190304T153206,104.97,100,Auto trade,,,
20190304T153207,104.97,100,Auto trade,,,
20190304T153208,104.975,500,Auto trade,,,
20190304T153210,104.9606,500,Auto trade,,,
20190304T153212,104.99,100,Auto trade,,,
20190304T153212,104.98,207,Auto trade,,,
20190304T153213,105.0,100,Auto trade,,,
20190304T153213,104.99,100,Auto trade,,,
20190304T153214,105.0,130,Auto trade,,,
20190304T153214,104.98,100,Auto trade,,,
20190304T153215,104.98,300,Auto trade,,,
20190304T153215,104.99,200,Auto trade,,,
20190304T153216,104.9736,700,Auto trade,,,
20190304T153216,105.01,100,Auto trade,,,
20190304T153217,104.992,2500,Auto trade,,,
20190304T153220,105.015,100,Auto trade,,,
20190304T153222,105.04,100,Auto trade,,,
20190304T153222,105.06,100,Auto trade,,,
20190304T153222,105.0699,100,Auto trade,,,
20190304T153222,105.07,200,Auto trade,,,
20190304T153222,105.06,1500,Auto trade,,,
20190304T153222,105.02,300,Auto trade,,,
20190304T153222,105.06,100,Auto trade,,,
20190304T153222,105.05,100,Auto trade,,,
20190304T153223,105.02,300,Auto trade,,,
20190304T153224,105.045,100,Auto trade,,,
20190304T153224,105.0527,158,Auto trade,,,
20190304T153226,105.05,100,Auto trade,,,
20190304T153227,105.05,200,Auto trade,,,
20190304T153231,105.062,500,Auto trade,,,
20190304T153231,105.065,500,Auto trade,,,
20190304T153231,105.08,100,Auto trade,,,
20190304T153232,105.1,100,Auto trade,,,
20190304T153233,105.11,100,Auto trade,,,
20190304T153234,105.082,200,Auto trade,,,
20190304T153234,105.0921,500,Auto trade,,,
20190304T153234,105.0801,500,Auto trade,,,
20190304T153234,105.0891,300,Auto trade,,,
20190304T153236,105.1191,100,Auto trade,,,
20190304T153236,105.14,100,Auto trade,,,
20190304T153237,105.14,100,Auto trade,,,
20190304T153238,105.14,100,Auto trade,,,
20190304T153240,105.1106,350,Auto trade,,,
20190304T153240,105.1,100,Auto trade,,,
20190304T153240,105.12,100,Auto trade,,,
20190304T153243,105.09,600,Auto trade,,,
20190304T153243,105.0927,200,Auto trade,,,
20190304T153243,105.1036,300,Auto trade,,,
20190304T153243,105.0962,600,Auto trade,,,
20190304T153243,105.09,100,Auto trade,,,
20190304T153243,105.11,100,Auto trade,,,
20190304T153248,105.11,500,Auto trade,,,
20190304T153249,105.11,200,Auto trade,,,
20190304T153249,105.09,100,Auto trade,,,
20190304T153249,105.0877,7000,Auto trade,,,
20190304T153249,105.09,100,Auto trade,,,
20190304T153249,105.089,100,Auto trade,,,
20190304T153250,105.07,300,Auto trade,,,
20190304T153251,105.075,100,Auto trade,,,
20190304T153251,105.072,1312,Auto trade,,,
20190304T153251,105.06,100,Auto trade,,,
20190304T153251,105.05,200,Auto trade,,,
20190304T153251,105.07,100,Auto trade,,,
20190304T153251,105.05,600,Auto trade,,,
20190304T153251,105.06,200,Auto trade,,,
20190304T153253,105.08,100,Auto trade,,,
20190304T153254,105.09,300,Auto trade,,,
20190304T153254,105.1,1200,Auto trade,,,
20190304T153256,105.11,800,Auto trade,,,
20190304T153256,105.12,100,Auto trade,,,
20190304T153257,105.0957,200,Auto trade,,,
20190304T153258,105.09,200,Auto trade,,,
20190304T153300,105.11,200,Auto trade,,,
20190304T153300,105.1,200,Auto trade,,,
20190304T153301,105.14,100,Auto trade,,,
20190304T153301,105.15,400,Auto trade,,,
20190304T153301,105.13,100,Auto trade,,,
20190304T153301,105.14,100,Auto trade,,,
20190304T153302,105.16,200,Auto trade,,,
20190304T153302,105.17,100,Auto trade,,,
20190304T153302,105.1454,500,Auto trade,,,
20190304T153305,105.14,150,Auto trade,,,
20190304T153305,105.15,100,Auto trade,,,
20190304T153306,105.14,150,Auto trade,,,
20190304T153306,105.13,276,Auto trade,,,
20190304T153306,105.14,100,Auto trade,,,
20190304T153309,105.12,300,Auto trade,,,
20190304T153309,105.14,100,Auto trade,,,
20190304T153309,105.13,100,Auto trade,,,
20190304T153309,105.12,100,Auto trade,,,
20190304T153310,105.12,100,Auto trade,,,
20190304T153310,105.11,200,Auto trade,,,
20190304T153311,105.12,100,Auto trade,,,
20190304T153311,105.11,100,Auto trade,,,
20190304T153312,105.11,400,Auto trade,,,
20190304T153312,105.1,100,Auto trade,,,
20190304T153312,105.09,100,Auto trade,,,
20190304T153312,105.1,100,Auto trade,,,
20190304T153312,105.09,100,Auto trade,,,
20190304T153312,105.08,600,Auto trade,,,
20190304T153314,105.07,100,Auto trade,,,
20190304T153315,105.065,100,Auto trade,,,
20190304T153317,105.06,200,Auto trade,,,
20190304T153320,105.0699,160,Auto trade,,,
20190304T153321,105.07,300,Auto trade,,,
20190304T153322,105.05,700,Auto trade,,,
20190304T153323,105.05,400,Auto trade,,,
20190304T153323,105.04,200,Auto trade,,,
20190304T153324,105.0527,500,Auto trade,,,
20190304T153324,105.0619,1000,Auto trade,,,
20190304T153325,105.07,185,Auto trade,,,
20190304T153326,105.07,100,Auto trade,,,
20190304T153326,105.08,100,Auto trade,,,
20190304T153327,105.09,200,Auto trade,,,
20190304T153327,105.11,500,Auto trade,,,
20190304T153327,105.08,100,Auto trade,,,
20190304T153327,105.115,168,Auto trade,,,
20190304T153328,105.13,100,Auto trade,,,
20190304T153330,105.13,100,Auto trade,,,
20190304T153332,105.13,400,Auto trade,,,
20190304T153332,105.11,200,Auto trade,,,
20190304T153332,105.12,100,Auto trade,,,
20190304T153332,105.11,100,Auto trade,,,
20190304T153332,105.12,100,Auto trade,,,
20190304T153332,105.11,100,Auto trade,,,
20190304T153332,105.13,100,Auto trade,,,
20190304T153332,105.14,100,Auto trade,,,
20190304T153332,105.13,100,Auto trade,,,
20190304T153333,105.1218,1000,Auto trade,,,
20190304T153334,105.12,100,Auto trade,,,
20190304T153334,105.11,486,Auto trade,,,
20190304T153334,105.12,100,Auto trade,,,
20190304T153334,105.13,100,Auto trade,,,
20190304T153336,105.13,200,Auto trade,,,
20190304T153337,105.12,700,Auto trade,,,
20190304T153337,105.13,100,Auto trade,,,
20190304T153337,105.14,100,Auto trade,,,
20190304T153337,105.13,200,Auto trade,,,
20190304T153338,105.13,200,Auto trade,,,
20190304T153338,105.1418,174,Auto trade,,,
20190304T153342,105.14,294,Auto trade,,,
20190304T153343,105.125,100,Auto trade,,,
20190304T153343,105.113,230,Auto trade,,,
20190304T153345,105.122,200,Auto trade,,,
